Experiment summary
==================

method=LoRA Normal | adapter_name=L1 | step=1 | eval_stage=step | eval_set=current_step | accuracy=0.9710 | loss=0.1200
method=LoRA Normal | adapter_name=L1 | step=1 | eval_stage=step | eval_set=first_step | accuracy=0.9710 | loss=0.1200
method=LoRA Normal | adapter_name=L1 | step=1 | eval_stage=step | eval_set=later_steps | accuracy=nan | loss=nan
method=LoRA Normal | adapter_name=L1 | step=1 | eval_stage=step | eval_set=all_seen | accuracy=0.9710 | loss=0.1200
method=LoRA Normal | adapter_name=L2 | step=2 | eval_stage=step | eval_set=current_step | accuracy=0.9730 | loss=0.1085
method=LoRA Normal | adapter_name=L2 | step=2 | eval_stage=step | eval_set=first_step | accuracy=0.0000 | loss=9.1717
method=LoRA Normal | adapter_name=L2 | step=2 | eval_stage=step | eval_set=later_steps | accuracy=0.9730 | loss=0.1085
method=LoRA Normal | adapter_name=L2 | step=2 | eval_stage=step | eval_set=all_seen | accuracy=0.4865 | loss=4.6401
method=LoRA Normal | adapter_name=L3 | step=3 | eval_stage=step | eval_set=current_step | accuracy=0.9520 | loss=0.1472
method=LoRA Normal | adapter_name=L3 | step=3 | eval_stage=step | eval_set=first_step | accuracy=0.0000 | loss=8.0626
method=LoRA Normal | adapter_name=L3 | step=3 | eval_stage=step | eval_set=later_steps | accuracy=0.4760 | loss=4.1433
method=LoRA Normal | adapter_name=L3 | step=3 | eval_stage=step | eval_set=all_seen | accuracy=0.3173 | loss=5.4497
method=LoRA Normal | adapter_name=L4 | step=4 | eval_stage=step | eval_set=current_step | accuracy=0.9580 | loss=0.1726
method=LoRA Normal | adapter_name=L4 | step=4 | eval_stage=step | eval_set=first_step | accuracy=0.0000 | loss=7.4444
method=LoRA Normal | adapter_name=L4 | step=4 | eval_stage=step | eval_set=later_steps | accuracy=0.3193 | loss=5.1600
method=LoRA Normal | adapter_name=L4 | step=4 | eval_stage=step | eval_set=all_seen | accuracy=0.2395 | loss=5.7311
method=LoRA Normal | adapter_name=L5 | step=5 | eval_stage=step | eval_set=current_step | accuracy=0.9810 | loss=0.0811
method=LoRA Normal | adapter_name=L5 | step=5 | eval_stage=step | eval_set=first_step | accuracy=0.0000 | loss=7.7548
method=LoRA Normal | adapter_name=L5 | step=5 | eval_stage=step | eval_set=later_steps | accuracy=0.2452 | loss=6.3040
method=LoRA Normal | adapter_name=L5 | step=5 | eval_stage=step | eval_set=all_seen | accuracy=0.1962 | loss=6.5942
method=LoRA Orth | adapter_name=L1 | step=1 | eval_stage=step | eval_set=current_step | accuracy=0.9715 | loss=0.1112
method=LoRA Orth | adapter_name=L1 | step=1 | eval_stage=step | eval_set=first_step | accuracy=0.9715 | loss=0.1112
